Adventure Path Name,Adventure Path Link,Adventure,Adventure Name,Adventure Description
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,Burnt Offerings,https://pathfinderwiki.com/wiki/Burnt_Offerings,"Five years after a tragic fire and spate of brutal murders, the people of Sandpoint eagerly anticipate the Swallowtail Festival to commemorate the consecration of the town?s new temple. At the height of the ceremony, disaster strikes! In the days that follow, a sinister shadow settles over Sandpoint. Rumors of goblin armies and wrathful monsters in forgotten ruins have set the populace on edge. As Sandpoint?s newest heroes, the PCs must deal with treachery, goblins, and the rising threat of a forgotten empire whose cruel and despotic rulers might not be as dead as history records."
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,The Skinsaw Murders,https://pathfinderwiki.com/wiki/The_Skinsaw_Murders,"A sudden string of brutal killings terrorizes the town of Sandpoint, and the killer's mark bears a familiar shape. Investigation leads to the Lost Coast's most notorious haunted mansion, a dilapidated ruin that has become the lair of a monstrous murderer. Yet this killer is but one of many, a member of a group of fanatic cutthroats calling themselves the Skinsaw Men. To defeat the cult, the PCs must travel to the bustling city of Magnimar to unravel the sinister source of these murders before they become the Skinsaw Men's next victims!"
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,The Hook Mountain Massacre,https://pathfinderwiki.com/wiki/The_Hook_Mountain_Massacre,"The notorious Hook Mountainogres, known for their violent and savage ways, have slaughtered the soldiers of Fort Rannick. The few surviving rangers need heroes to help them retake this key fortification before the ogres use it as a staging ground for further assaults on the region. Yet why have the ogres chosen now to launch this sudden attack? What sinister force grows in the surrounding wilderness, and what ties to the mysterious sihedron rune do the ogres of Hook Mountain hide? Are the rumors of an army of giants massing for war true?"
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,Fortress of the Stone Giants,https://pathfinderwiki.com/wiki/Fortress_of_the_Stone_Giants,"Driven to battle by a maniacal warlord, the once-peaceful stone giants of the Storval Plateau threaten to destroy the sleepy town of Sandpoint. Will fast action and quick wits be enough to save the defenseless community? Yet, even if the giants' initial raid can be repelled, only by striking at the heart of their titanic war machine?the black-towered fortress of Jorgenfist?can the menace be quelled. But who knows what mysterious bloodlust spurs the usually peaceful giants to war, or what mysteries lie beneath their ancient fortress?"
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,Sins of the Saviors,https://pathfinderwiki.com/wiki/Sins_of_the_Saviors,"The evil beneath the town of Sandpoint refuses to sleep quietly and a killer from the ancient past awakes. Clues found in his lair lead to the den of a legendary dragon and into a vast arcane dungeon ruled by ancient wizards, where the seven deadly sins reign supreme. Can the PCs hone the sins within themselves into weapons against their true foe, Karzoug, the resurrected Runelord of Greed?"
Rise of the Runelords,https://pathfinderwiki.com/wiki/Rise_of_the_Runelords,Spires of Xin-Shalast,https://pathfinderwiki.com/wiki/Spires_of_Xin-Shalast,"The Runelord of Greed, Karzoug the Claimer, stirs in the legendary city of Xin-Shalast. There are more forces than an ancient evil wizard at work in this remote corner of Golarion, a place where the boundaries between reality and nightmare are unnaturally thin. Karzoug's minions have awakened as well, among them giants and dragons and devils and worse. Could there be an even deeper evil poised to emerge from the darkness at the dawn of time? Can the Rise of the Runelords be stopped?"
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,Edge of Anarchy,https://pathfinderwiki.com/wiki/Edge_of_Anarchy,"In the shadow of an ailing king, a new ruler gathers power, sending shockwaves through a populace already plagued by unrest and pushing the largest city in Varisia to the brink of disaster. In the face of anarchy, a band of heroes gathers at the call of a mysterious patron. Strange magic and mysterious prophesies set them on the trail of a common foe?a path that draws them into a struggle to save the city from ruin. Amid the intrigues of kings and generals, heroes and thieves, it's up to these new heroes to decides whether the rule of a new monarch will usher in a new age of glory or a reign of chaos."
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,Seven Days to the Grave,https://pathfinderwiki.com/wiki/Seven_Days_to_the_Grave,"Death stalks the streets of Korvosa! What starts as an isolated outbreak swiftly turns into a full-fledged epidemic and soon no one is safe. The city's resources quickly overwhelmed and a desperate queen takes harsh measures to stem the rising death toll. As bodies fill the streets, it falls to the PCs to seek allies among the city's desperate guardians, curb the tide of panic, and save those they can. But with the fates of thousands in their hands, can the PCs discover the mastermind behind the unnatural plague before Korvosa becomes a single mass grave?"
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,Escape from Old Korvosa,https://pathfinderwiki.com/wiki/Escape_from_Old_Korvosa,"Anarchy, plague, and the mandates of a pitiless queen have thrown the island community of Old Korvosa into chaos. Forsaken by the government and cut off from the rest of the city, hundreds of unfortunates stand helpless against the rising criminal warlords, each eager to carve out a slice of Korvosa as his own. Yet, amid the turmoil of warring gangs and sinister power mongers hides the only man who might be able to restore sanity to the beleaguered city. But why has he remained silent for so long? What secret of the new queen does he hide? And what fiendish power grows in the shadows, ready to sink its claws into the heart of Old Korvosa?"
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,A History of Ashes,https://pathfinderwiki.com/wiki/A_History_of_Ashes,"The path to save Korvosa leads far beyond the ravaged city's walls. In the burning plains of the Cinderlands, the tenacious tribes of the Shoanti barbarians protect an ancient secret that might be the only way to save the Jewel of Varisia from ruin, but Korvosa has been their enemy too long for the proud natives to give up their knowledge freely. Only by learning the ways of the barbarians and facing their sacred trials can the PCs hope to save their city, but are the savage warriors' ordeals impossible? Especially when the PCs already have angry natives, evil priests, and deadly assassins hot on their trail?"
