Item,Subtype,Type
Padded Armor,Armor,Arms and Armor
Leather Armor,Armor,Arms and Armor
Studded Leather Armor,Armor,Arms and Armor
Chain Shirt,Armor,Arms and Armor
Hide Armor,Armor,Arms and Armor
Scale Mail,Armor,Arms and Armor
Chainmail,Armor,Arms and Armor
Breastplate,Armor,Arms and Armor
Splint Mail,Armor,Arms and Armor
Banded Mail,Armor,Arms and Armor
Half-Plate,Armor,Arms and Armor
Full Plate,Armor,Arms and Armor
Adamantine Breastplate,Armor,Arms and Armor
Banded Mail of Luck,Armor,Arms and Armor
Breastplate of Command,Armor,Arms and Armor
Celestial Armor,Armor,Arms and Armor
Demon Armor,Armor,Arms and Armor
Dwarven Plate,Armor,Arms and Armor
Dragonhide Plate,Armor,Arms and Armor
Elven Chain,Armor,Arms and Armor
Mithral Full Plate of Speed,Armor,Arms and Armor
Mithral Shirt,Armor,Arms and Armor
Plate Armor of the Deep,Armor,Arms and Armor
Rhino Hide,Armor,Arms and Armor
Arrow,Ammunition,Arms and Armor
Bolt,Ammunition,Arms and Armor
Repeating Bolt,Ammunition,Arms and Armor
Bullet,Ammunition,Arms and Armor
Blowgun Dart,Ammunition,Arms and Armor
Screaming Bolt,Ammunition,Arms and Armor
Slaying Arrow,Ammunition,Arms and Armor
Greater Slaying Arrow,Ammunition,Arms and Armor
Sleep Arrow,Ammunition,Arms and Armor
Padded Barding,Barding,Arms and Armor
Leather Barding,Barding,Arms and Armor
Studded Leather Barding,Barding,Arms and Armor
Chain Shirt Barding,Barding,Arms and Armor
Hide Barding,Barding,Arms and Armor
Scale Mail Barding,Barding,Arms and Armor
Chainmail Barding,Barding,Arms and Armor
Breastplate Barding,Barding,Arms and Armor
Splint Mail Barding,Barding,Arms and Armor
Banded Mail Barding,Barding,Arms and Armor
Half-Plate Barding,Barding,Arms and Armor
Full Plate Barding,Barding,Arms and Armor
Gauntlet,Melee Weapon,Arms and Armor
Dagger,Melee Weapon,Arms and Armor
Punching Dagger,Melee Weapon,Arms and Armor
Spiked Gauntlet,Melee Weapon,Arms and Armor
Light Mace,Melee Weapon,Arms and Armor
Sickle,Melee Weapon,Arms and Armor
Club,Melee Weapon,Arms and Armor
Heavy Mace,Melee Weapon,Arms and Armor
Morningstar,Melee Weapon,Arms and Armor
Shortspear,Melee Weapon,Arms and Armor
Longspear,Melee Weapon,Arms and Armor
Quarterstaff,Melee Weapon,Arms and Armor
Spear,Melee Weapon,Arms and Armor
Throwing Axe,Melee Weapon,Arms and Armor
Light Hammer,Melee Weapon,Arms and Armor
Handaxe,Melee Weapon,Arms and Armor
Kukri,Melee Weapon,Arms and Armor
Light Pick,Melee Weapon,Arms and Armor
Sap,Melee Weapon,Arms and Armor
Spiked Armor,Melee Weapon,Arms and Armor
Starknife,Melee Weapon,Arms and Armor
Short Sword,Melee Weapon,Arms and Armor
Battleaxe,Melee Weapon,Arms and Armor
Light Flail,Melee Weapon,Arms and Armor
Longsword,Melee Weapon,Arms and Armor
Heavy Pick,Melee Weapon,Arms and Armor
Rapier,Melee Weapon,Arms and Armor
Scimitar,Melee Weapon,Arms and Armor
Trident,Melee Weapon,Arms and Armor
Warhammer,Melee Weapon,Arms and Armor
Falchion,Melee Weapon,Arms and Armor
Glaive,Melee Weapon,Arms and Armor
Greataxe,Melee Weapon,Arms and Armor
Greatclub,Melee Weapon,Arms and Armor
Heavy Flail,Melee Weapon,Arms and Armor
Greatsword,Melee Weapon,Arms and Armor
Guisarme,Melee Weapon,Arms and Armor
Halberd,Melee Weapon,Arms and Armor
Lance,Melee Weapon,Arms and Armor
Ranseur,Melee Weapon,Arms and Armor
Scythe,Melee Weapon,Arms and Armor
Kama,Melee Weapon,Arms and Armor
Nunchaku,Melee Weapon,Arms and Armor
Sai,Melee Weapon,Arms and Armor
Siangham,Melee Weapon,Arms and Armor
Bastard Sword,Melee Weapon,Arms and Armor
Dwarven Waraxe,Melee Weapon,Arms and Armor
Whip,Melee Weapon,Arms and Armor
Orc Double Axe,Melee Weapon,Arms and Armor
Spiked Chain,Melee Weapon,Arms and Armor
Elven Curve Blade,Melee Weapon,Arms and Armor
Dire Flail,Melee Weapon,Arms and Armor
Gnome Hooked Hammer,Melee Weapon,Arms and Armor
Two-Bladed Sword,Melee Weapon,Arms and Armor
Dwarven Urgrosh,Melee Weapon,Arms and Armor
Dagger (Punching),Melee Weapon,Arms and Armor
Gauntlet (Spiked),Melee Weapon,Arms and Armor
Mace (Light),Melee Weapon,Arms and Armor
Mace (Heavy),Melee Weapon,Arms and Armor
Axe (Throwing),Melee Weapon,Arms and Armor
Hammer (Light),Melee Weapon,Arms and Armor
Pick (Light),Melee Weapon,Arms and Armor
